Bandit,Reward,Algorithm
2.0,1.9949179945796383,ThompsonSampling
2.0,2.8896758103604276,ThompsonSampling
2.0,0.8339146778677256,ThompsonSampling
2.0,3.458336034551684,ThompsonSampling
2.0,2.5324611909649493,ThompsonSampling
2.0,2.217635300771809,ThompsonSampling
2.0,3.2469556506310586,ThompsonSampling
2.0,1.9849871607708296,ThompsonSampling
2.0,4.69651342646072,ThompsonSampling
2.0,2.515077760717006,ThompsonSampling
2.0,4.070832307775364,ThompsonSampling
2.0,1.8005496479367076,ThompsonSampling
2.0,3.050430332760492,ThompsonSampling
2.0,3.4639432561207713,ThompsonSampling
2.0,3.416495907246551,ThompsonSampling
2.0,1.1824690274652054,ThompsonSampling
2.0,4.327801283861255,ThompsonSampling
2.0,3.58393737962006,ThompsonSampling
2.0,5.237689291474472,ThompsonSampling
2.0,3.669068534253423,ThompsonSampling
2.0,3.1017518734097824,ThompsonSampling
2.0,2.030764715195838,ThompsonSampling
2.0,4.4042248936537565,ThompsonSampling
2.0,2.579451633613746,ThompsonSampling
2.0,2.5732447920350867,ThompsonSampling
2.0,2.661971749439299,ThompsonSampling
2.0,2.8958241429909504,ThompsonSampling
2.0,4.80437697900399,ThompsonSampling
2.0,2.9180172960162074,ThompsonSampling
2.0,3.1070655413487076,ThompsonSampling
2.0,3.5509979328113044,ThompsonSampling
2.0,3.575755510373762,ThompsonSampling
2.0,2.8581321091933667,ThompsonSampling
2.0,3.4049010809774254,ThompsonSampling
2.0,1.9187910235518308,ThompsonSampling
2.0,1.658947667756023,ThompsonSampling
2.0,3.618957085014196,ThompsonSampling
2.0,3.854954457123288,ThompsonSampling
2.0,1.944973545680932,ThompsonSampling
2.0,3.35007684653742,ThompsonSampling
2.0,2.2747478045473035,ThompsonSampling
2.0,1.8867534816228924,ThompsonSampling
2.0,2.6364935031696533,ThompsonSampling
2.0,2.8411334225161937,ThompsonSampling
2.0,3.100187089985123,ThompsonSampling
2.0,2.014529354512727,ThompsonSampling
2.0,2.3590301668158773,ThompsonSampling
2.0,2.9545332272616127,ThompsonSampling
2.0,4.952564369757864,ThompsonSampling
2.0,2.496171980002785,ThompsonSampling
2.0,5.645785983759296,ThompsonSampling
2.0,3.0666486114070417,ThompsonSampling
2.0,1.9982751764511708,ThompsonSampling
2.0,2.9289394559966175,ThompsonSampling
2.0,3.6916111169158436,ThompsonSampling
2.0,2.287948741795106,ThompsonSampling
2.0,2.043503899176354,ThompsonSampling
2.0,3.761283487059612,ThompsonSampling
2.0,1.6681404640069877,ThompsonSampling
2.0,4.511103068943033,ThompsonSampling
2.0,2.1020864541546294,ThompsonSampling
2.0,2.747415403199901,ThompsonSampling
2.0,2.4573564616963757,ThompsonSampling
2.0,4.035274281988739,ThompsonSampling
2.0,3.5283366977923447,ThompsonSampling
2.0,3.6419032618046154,ThompsonSampling
2.0,3.7662547427951596,ThompsonSampling
2.0,2.674608633677505,ThompsonSampling
2.0,3.623176820304642,ThompsonSampling
2.0,3.156832248256704,ThompsonSampling
2.0,2.2581508097427174,ThompsonSampling
2.0,4.091822673376324,ThompsonSampling
2.0,2.670633380008111,ThompsonSampling
2.0,1.2559724519105404,ThompsonSampling
2.0,4.272744795658183,ThompsonSampling
2.0,4.069734356402893,ThompsonSampling
2.0,3.415951243358372,ThompsonSampling
2.0,2.5301662310251443,ThompsonSampling
2.0,1.3964859609133937,ThompsonSampling
2.0,3.6868509830250202,ThompsonSampling
2.0,2.4295856614424394,ThompsonSampling
2.0,3.0393600618011702,ThompsonSampling
2.0,3.9677093819566345,ThompsonSampling
2.0,3.316148662790704,ThompsonSampling
2.0,3.330191007027432,ThompsonSampling
2.0,2.3755717123547955,ThompsonSampling
